size,cores,latency,Sequential,modify
4194304,8,1387.41,0,1
8388608,8,1411.74,0,1
16777216,8,1557.54,0,1
65536,8,186.839,0,0
131072,8,495.476,0,0
262144,8,671.383,0,0
524288,8,763.673,0,0
1048576,8,813.564,0,0
2097152,8,851.418,0,0
4194304,8,881.318,0,0
8388608,8,902.901,0,0
16777216,8,1033.27,0,0
